name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
"Dates, dry, dark brown",,IFCT_Extracted,100,39.0,2.0,2.39,2.38,0.35,,,IFCT2017_Complete_OCR
Gooseberry,,IFCT_Extracted,100,23.3,5.0,0.05,0.34,0.16,,,IFCT2017_Complete_OCR
"Jambu fruit, ripe",,IFCT_Extracted,100,16.6,2.0,0.31,0.82,0.17,,,IFCT2017_Complete_OCR
—_Litchi,,IFCT_Extracted,100,22.4,4.0,0.99,0.27,0.09,,,IFCT2017_Complete_OCR
"Mango, ripe, neelam",,IFCT_Extracted,100,15.6,2.0,0.38,0.68,0.55,,,IFCT2017_Complete_OCR
"— Mango, ripe, paheri",,IFCT_Extracted,100,15.8,2.0,0.42,0.68,0.58,,,IFCT2017_Complete_OCR
"— Mango, ripe, totapari",,IFCT_Extracted,100,561.0,1.0,47.0,41.0,0.49,,,IFCT2017_Complete_OCR
Mangosteen,,IFCT_Extracted,100,11.0,1.0,0.33,0.63,0.24,,,IFCT2017_Complete_OCR
Manila tamarind,,IFCT_Extracted,100,47.3,1.0,2.82,3.56,,,,IFCT2017_Complete_OCR
"Orange, pulp",,IFCT_Extracted,100,26.4,6.0,0.56,0.02,0.02,,,IFCT2017_Complete_OCR
Peach,,IFCT_Extracted,100,13.8,1.0,0.51,0.86,0.37,,,IFCT2017_Complete_OCR
Pear,,IFCT_Extracted,100,28.3,6.0,0.03,0.46,,,,IFCT2017_Complete_OCR
Phalsa,,IFCT_Extracted,100,27.3,2.0,1.09,1.66,0.14,,,IFCT2017_Complete_OCR
"Raisins, dried, golden",,IFCT_Extracted,100,35.1,6.0,1.0,0.79,,,,IFCT2017_Complete_OCR
Rambutan,,IFCT_Extracted,100,11.8,1.0,0.43,0.68,0.16,,,IFCT2017_Complete_OCR
Soursop,,IFCT_Extracted,100,13.0,1.0,0.58,0.74,0.94,,,IFCT2017_Complete_OCR
Star fruit,,IFCT_Extracted,100,12.4,1.0,0.33,0.79,0.39,,,IFCT2017_Complete_OCR
Strawberry,,IFCT_Extracted,100,27.1,6.0,0.56,0.1,0.02,,,IFCT2017_Complete_OCR
Zizyphus,,IFCT_Extracted,100,19.3,1.0,0.8,1.34,0.35,,,IFCT2017_Complete_OCR
"Carrot, orange",,IFCT_Extracted,100,32.8,6.0,0.95,0.56,0.15,,,IFCT2017_Complete_OCR
"Carrot, red",,IFCT_Extracted,100,29.2,4.0,3.09,0.09,0.26,,,IFCT2017_Complete_OCR
Colocasia,,IFCT_Extracted,100,95.9,6.0,17.85,0.05,0.94,,,IFCT2017_Complete_OCR
"Potato, brown skin, small",,IFCT_Extracted,100,19.6,1.0,0.87,1.35,0.22,,,IFCT2017_Complete_OCR
"Potato, red skin",,IFCT_Extracted,100,25.0,1.0,1.13,1.83,0.22,,,IFCT2017_Complete_OCR
"Radish, round, red skin",,IFCT_Extracted,100,15.7,1.0,0.91,0.89,0.16,,,IFCT2017_Complete_OCR
"Radish, round, white skin",,IFCT_Extracted,100,18.4,2.0,0.8,0.8,0.14,,,IFCT2017_Complete_OCR
"Sweet potato, pink skin",,IFCT_Extracted,100,27.9,3.0,3.94401,0.01,,,,IFCT2017_Complete_OCR
Tapioca,,IFCT_Extracted,100,19.0,3.0,0.05,0.76,,,,IFCT2017_Complete_OCR
"Yam, wild",,IFCT_Extracted,100,42.7,2.0,1.76,3.07,0.3,,,IFCT2017_Complete_OCR
"Chillies, green-3",,IFCT_Extracted,100,53.8,3.0,5.1,2.38204,0.1,,,IFCT2017_Complete_OCR
"Chillies, green-6",,IFCT_Extracted,100,800.4,6.0,3.01,84.93,0.96,,,IFCT2017_Complete_OCR
Curry leaves,,IFCT_Extracted,100,57.6,6.0,4.864058,1.57,1.0,,,IFCT2017_Complete_OCR
"— Garlic, single clove, Kashmir",,IFCT_Extracted,100,66.1,1.0,1.76,6.12,0.16,,,IFCT2017_Complete_OCR
"— Gingelly seeds, black",,IFCT_Extracted,100,94.6,6.0,17.16,0.22,0.19,,,IFCT2017_Complete_OCR
Ground nut,,IFCT_Extracted,100,122.2,6.0,23.0,0.69,,,,IFCT2017_Complete_OCR
"Button mushroom, fresh",,IFCT_Extracted,100,65.1,1.0,7.0,3.68,0.42,,,IFCT2017_Complete_OCR
"Chicken mushroom, fresh",,IFCT_Extracted,100,316.6,1.0,74.0,1.84,0.25,,,IFCT2017_Complete_OCR
"Oyster mushroom, dried",,IFCT_Extracted,100,181.0,1.0,1.41,19.04,2.86,,,IFCT2017_Complete_OCR
"Milk, whole, Cow",,IFCT_Extracted,100,457.2,6.0,0.29,48.0,,,,IFCT2017_Complete_OCR
"Egg, poultry, yolk, raw",,IFCT_Extracted,100,31.0,6.0,1.0,0.33,5.0,,,IFCT2017_Complete_OCR
"—_Egg, country hen, whole, raw",,IFCT_Extracted,100,125.7,1.0,0.86,13.14,13.0,,,IFCT2017_Complete_OCR
"Egg, country hen, whole, boiled",,IFCT_Extracted,100,149.6,4.0,0.94,14.43,14.1,,,IFCT2017_Complete_OCR
"—_Egg, country hen, omlet",,IFCT_Extracted,100,141.5,1.0,1.08,14.8,16.3,,,IFCT2017_Complete_OCR
"Egg, duck, whole, raw",,IFCT_Extracted,100,139.4,1.0,0.99,14.6,13.83,,,IFCT2017_Complete_OCR
"Egg, duck, whole, omlet",,IFCT_Extracted,100,144.6,1.0,1.18,15.1,14.8,,,IFCT2017_Complete_OCR
"Egg, quial, whole, raw",,IFCT_Extracted,100,119.3,1.0,0.94,12.39,11.46,,,IFCT2017_Complete_OCR
"Egg, quial, whole, boiled",,IFCT_Extracted,100,125.2,1.0,0.99,13.03,11.5,,,IFCT2017_Complete_OCR
"Goat, chops",,IFCT_Extracted,100,115.5,6.0,20.39,1.1,0.83,,,IFCT2017_Complete_OCR
"Goat, legs",,IFCT_Extracted,100,120.0,6.0,22.07,0.86,0.63,,,IFCT2017_Complete_OCR
"Goat, tongue",,IFCT_Extracted,100,91.5,4.0,16.63,1.0,0.54,,,IFCT2017_Complete_OCR
"Goat, liver",,IFCT_Extracted,100,51.8,6.0,4.88,0.92,0.73,,,IFCT2017_Complete_OCR
"Goat, tripe",,IFCT_Extracted,100,33.6,5.0,3.36,0.02,0.29,,,IFCT2017_Complete_OCR
